carteira,pep,descricao,orcamento,disposto,real,comprometido,disponivel
3102-22-19,3102-22-19-001,Loja Vivix,2545200,0,0,0,2545200
3102-22-19,3102-22-19-002,Vidrelo,1231109,16311,0,16311,1214798
3102-22-19,3102-22-19-003,Agência,96439,6478,0,6478,89961
3102-22-19,3102-22-19-004,Projeto VIVIX FACILI,1000000,921919,914926,6993,78081
3102-22-19,3102-22-19-005,Diversos,427567,169699,169699,0,257868
3102-22-19,3102-22-19-007,Planejamento Integra,500000,457524,457524,0,42476
3102-22-19,3102-22-19-009,Kromatix - Show Room,86058,0,0,0,86058
3102-22-19,3102-22-19-011,Nuvem Industrial - F,180000,150145,150145,0,29855
3102-22-19,3102-22-19-012,Governança de Dados,148133,148131,148131,0,3
3102-22-19,3102-22-19-014,Carteira de identida,149750,149750,149750,0,0
3102-22-19,3102-22-19-017,Integração Equipamen,92000,83496,83496,0,8505
3102-22-19,3102-22-19-018,ISRA para qualidade,78454,77528,77528,0,926
3102-22-19,3102-22-19-019,Controle de ativos e,63778,51819,51819,0,11959
3102-22-19,3102-22-19-020,CEP Digital - Fase 2,64223,64221,64221,0,2
3102-23-19,3102-23-19-002,Facilita - Fase 3,700000,393884,357203,36681,306116
3102-23-19,3102-23-19-003,Cofre p/ experimenta,12000,0,0,0,12000
3102-23-19,3102-23-19-006,Projeto piloto rastr,100000,0,0,0,100000
3102-23-19,3102-23-19-007,3 Ciclos p/testes/m,210000,46,0,46,209954
3102-23-19,3102-23-19-008,Kromatix - Show Room,193662,100000,0,100000,93662
3102-23-19,3102-23-19-009,Gêmeo Digital do For,225000,207106,204581,2525,17894
3102-23-19,3102-23-19-012,Sistema gerenciament,180000,177183,177183,0,2817
3102-23-19,3102-23-19-013,Monitoramento REMOTO,150000,145000,145000,0,5000
3102-23-19,3102-23-19-015,Sist Geren Prod/Perf,150000,117805,117805,0,32195
3102-23-19,3102-23-19-016,Planejamento de dema,186400,179270,179270,0,7130
3102-23-19,3102-23-19-017,Otimização de perda,100000,80000,80000,0,20000
3102-23-19,3102-23-19-022,Construção modelo au,222600,222600,222600,0,0
3102-23-19,3102-23-19-023,Ubiquitous,7317,0,0,0,7317
3102-23-19,3102-23-19-024,Influenciador Digita,100000,0,0,0,100000
3102-23-19,3102-23-19-027,CEP Digital Laminado,100000,0,0,0,100000
3102-23-19,3102-23-19-029,Checklist Operação M,110000,85662,85584,78,24338
3102-23-19,3102-23-19-032,Digitalização checkl,50000,46600,46600,0,3400
3102-23-19,3102-23-19-033,Sist medição/geren e,100000,0,0,0,100000
3102-24-19,3102-24-19-001,Facilita - Evolução,855020,784442,748500,35943,70578
3102-24-19,3102-24-19-002,Planejavix - Prog. e,500000,499706,499706,0,295
3102-24-19,3102-24-19-003,Cofre de Inovação,539000,206300,206300,0,332700
3102-24-19,3102-24-19-004,Estudo de rentabilid,351244,0,0,0,351244
3102-24-19,3102-24-19-005,Migração Volix e man,360000,210000,210000,0,150000
3102-24-19,3102-24-19-006,Lançamento Kromatix,262000,63,0,63,261937
3102-24-19,3102-24-19-007,Influencer Digital,206886,0,0,0,206886
3102-24-19,3102-24-19-008,Mais ideias,200000,3988,3988,0,196012
3102-24-19,3102-24-19-009,Sistema inteligente,195000,195000,195000,0,0
3102-24-19,3102-24-19-010,Monit. refratários f,190000,190000,190000,0,0
3102-24-19,3102-24-19-011,Assist.de parecer te,165000,165000,165000,0,0
3102-24-19,3102-24-19-012,Gerenc. Prod. digita,150000,150000,150000,0,0
3102-24-19,3102-24-19-013,Sist. integrado info,150000,149835,149835,0,165
3102-24-19,3102-24-19-014,Gerenc. produção dig,150000,149921,149921,0,79
3102-24-19,3102-24-19-015,Assistente Virtual d,120000,120000,120000,0,0
3102-24-19,3102-24-19-016,Gêmeo digital monit.,35000,35000,0,35000,0
3102-24-19,3102-24-19-017,Sistema Inteligente,100000,99000,99000,0,1000
3102-24-19,3102-24-19-019,Facilita Vendas: Imp,100000,0,0,0,100000
3102-24-19,3102-24-19-020,Facilita: Front-End,2880,2880,2880,0,0
3102-24-19,3102-24-19-021,Tomada dec. bas. dad,120000,120000,120000,0,0
3102-24-19,3102-24-19-022,Digitalização Cativi,100000,55939,55939,0,44061
3102-24-19,3102-24-19-023,Ubiquitous,100000,0,0,0,100000
3102-24-19,3102-24-19-024,Logistica Reversa Ca,100000,0,0,0,100000
3102-24-19,3102-24-19-025,Inventário digital c,80000,80000,80000,0,0
3102-24-19,3102-24-19-026,Teste para Universid,34000,0,0,0,34000
3102-24-19,3102-24-19-027,Resina contra Calor,50000,0,0,0,50000
3102-24-19,3102-24-19-028,Medição de Contratos,40000,12668,12668,0,27332
3102-24-19,3102-24-19-029,Monitoramento de Ene,30000,29980,29980,0,20
3102-24-19,3102-24-19-030,Gerenciamento do Con,30000,0,0,0,30000
3102-25-19,3102-25-19-001,IA para otimização d,987700,987209,987209,0,491
3102-25-19,3102-25-19-002,Soluções p/ digitali,296000,97123,97123,0,198877
3102-25-19,3102-25-19-003,Uso de IA melhora ex,409000,81237,81237,0,327763
3102-25-19,3102-25-19-004,Manutenção preditiva,512300,512293,512293,0,7
3102-25-19,3102-25-19-005,Gerenciamento da pro,400000,399944,369558,30386,56
3102-25-19,3102-25-19-006,Facilita,1050000,1045105,1045105,0,4895
3102-25-19,3102-25-19-007,Cofre de Inovação,5109,2968,2968,0,2141
3102-25-19,3102-25-19-008,Otimiza Forno - Fase,200000,200000,200000,0,0
3102-25-19,3102-25-19-009,Mix projetado,250000,219480,219480,0,30520
3102-25-19,3102-25-19-010,Otimização de preços,24000,0,0,0,24000
3102-25-19,3102-25-19-011,RFID no Armazém e Ex,200000,0,0,0,200000
3102-25-19,3102-25-19-012,Consolidação rendime,180000,179965,175434,4531,35
3102-25-19,3102-25-19-013,Arquitetura de dados,100000,20000,20000,0,80000
3102-25-19,3102-25-19-014,Mais ideias,100000,5643,5643,0,94357
3102-25-19,3102-25-19-015,Projeto Notificação,50000,46036,19566,26470,3964
3102-25-19,3102-25-19-016,Compra de equipament,91000,85451,85451,0,5549
3102-25-19,3102-25-19-017,Desenvolvimento Mill,150000,149734,36988,112746,266
