periodo,planejado_acumulado,realizado_acumulado,variancia_pct
2026-01,227000,151300,66.65198237885463
2026-02,454000,311500,68.6123348017621
2026-03,681000,480600,70.57268722466961
2026-04,908000,505600,55.682819383259904
2026-05,1135000,505600,44.54625550660793
2026-06,1362000,505600,37.12187958883994
2026-07,1589000,505600,31.818753933291376
2026-08,1816000,505600,27.841409691629952
2026-09,2043000,505600,24.747919725893293
2026-10,2270000,505600,22.273127753303964
2026-11,2497000,505600,20.24829795754906
2026-12,2724000,505600,18.56093979441997
