id,nome,status,area,portfolio,sponsor,pm,investimento_aprovado
ab30f911-eb2f-49da-802b-4dd398555c9c,Redução de Scrap Linha A,execucao,Produção,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,200000
ccf66fb7-440f-4045-bae8-7bf6455323aa,OEE Prensa 2,execucao,Produção,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,144000
8b418328-ddaa-47d0-a0da-de95f897cddd,Contrato Energia 2026,execucao,Manutenção,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,320000
901be6d9-9f9c-4163-b66e-fcfefb3967fe,TMS Frete Nacional,execucao,Supply Chain,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,176000
ace00230-18e9-4630-b688-9cd4d4383021,WMS Slotting,execucao,Supply Chain,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,120000
ce27052e-bd4a-4c38-af3d-6f7e9257d5a9,Automação NFe,execucao,TI,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,72000
a0b98bd1-8ea2-4d09-9d3b-6e512185aa4d,MES Alertas Qualidade,execucao,Qualidade,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,96000
85260d09-ccff-4e7f-964a-73679d26afd6,TPM Fase 1,execucao,Manutenção,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,80000
0b8386f3-3edc-4064-a0a5-403b71c88fa0,Redução Retrabalho Pintura,execucao,Produção,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,128000
78ccff8c-8722-4038-a693-ad0de974c39c,Portal Fornecedores,execucao,Supply Chain,Portfólio Manufatura 2026,sponsor@oficina.local,pm@oficina.local,88000
