projeto_id,nome,beneficio_validado,custo_realizado,roi,brr,prometido
ab30f911-eb2f-49da-802b-4dd398555c9c,Redução de Scrap Linha A,92500,50000,0.85,0.2569444444444444,360000
ccf66fb7-440f-4045-bae8-7bf6455323aa,OEE Prensa 2,48600,36000,0.35,0.18409090909090908,264000
8b418328-ddaa-47d0-a0da-de95f897cddd,Contrato Energia 2026,108000,80000,0.35,0.225,480000
901be6d9-9f9c-4163-b66e-fcfefb3967fe,TMS Frete Nacional,59400,44000,0.35,0.165,360000
ace00230-18e9-4630-b688-9cd4d4383021,WMS Slotting,40500,30000,0.35,0.16071428571428573,252000
ce27052e-bd4a-4c38-af3d-6f7e9257d5a9,Automação NFe,24300,18000,0.35,0.16875,144000
a0b98bd1-8ea2-4d09-9d3b-6e512185aa4d,MES Alertas Qualidade,32400,24000,0.35,0.14210526315789473,228000
85260d09-ccff-4e7f-964a-73679d26afd6,TPM Fase 1,27000,20000,0.35,0.11842105263157894,228000
0b8386f3-3edc-4064-a0a5-403b71c88fa0,Redução Retrabalho Pintura,43200,32000,0.35,0.2,216000
78ccff8c-8722-4038-a693-ad0de974c39c,Portal Fornecedores,29700,22000,0.35,0.1546875,192000
